label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19
A,0.9508904814720154,0.1884961724281311,0.14468125998973846,0.0733344554901123,0.08980873972177505,1.0,0.0,0.0,0.0,0.0,0.5951476693153381,0.23924069106578827,0.11767411231994629,-0.06344597786664963,-0.9910234212875366,0.9599201083183289,0.5951476693153381,0.23924069106578827,0.24047304689884186,0.217366024851799
A,0.9554373621940613,0.20097678899765015,0.16003642976284027,0.08210596442222595,0.09134559333324432,1.0,0.0,0.0,0.0,0.0,0.5850112438201904,0.2273384928703308,0.1553523987531662,-0.0658479630947113,-0.9856619834899902,0.944187343120575,0.5850112438201904,0.2273384928703308,0.23394080996513367,0.21937496960163116
A,0.9514067769050598,0.2044978141784668,0.16480986773967743,0.09492427110671997,0.06617792695760727,1.0,0.0,0.0,0.0,0.0,0.6371257901191711,0.25664710998535156,0.10930376499891281,0.04699162766337395,-0.9928969740867615,0.9725210070610046,0.6371257901191711,0.25664710998535156,0.2664923369884491,0.24769115447998047
A,0.9487830400466919,0.2389882206916809,0.1804685741662979,0.10813267529010773,0.06694728881120682,1.0,0.0,0.0,0.0,0.0,0.7027317881584167,0.2478848099708557,0.05163893476128578,0.049693331122398376,-0.9974286556243896,0.9735063314437866,0.7027317881584167,0.2478848099708557,0.284139484167099,0.26027947664260864
A,0.9556732773780823,0.1877235770225525,0.1478273719549179,0.10306646674871445,0.07332174479961395,1.0,0.0,0.0,0.0,0.0,0.6813456416130066,0.2719890773296356,0.07113578170537949,0.0719425156712532,-0.994868814945221,0.9561631083488464,0.6813456416130066,0.2719890773296356,0.2665110230445862,0.25830981135368347
A,0.9563636779785156,0.17460376024246216,0.14528460800647736,0.10148985683917999,0.08428561687469482,1.0,0.0,0.0,0.0,0.0,0.6504119038581848,0.2694743573665619,0.08141734451055527,0.052468929439783096,-0.9952980875968933,0.9457990527153015,0.6504119038581848,0.2694743573665619,0.26573044061660767,0.2473364919424057
A,0.9474362134933472,0.2068910300731659,0.16001786291599274,0.10374027490615845,0.07264164090156555,1.0,0.0,0.0,0.0,0.0,0.6836714148521423,0.26491326093673706,0.05561425909399986,0.053139038383960724,-0.9970372915267944,0.9661878347396851,0.6836714148521423,0.26491326093673706,0.2897409498691559,0.2606165409088135
A,0.9605023860931396,0.19537360966205597,0.17906108498573303,0.1368713229894638,0.09213098883628845,1.0,0.0,0.0,0.0,0.0,0.48921069502830505,0.30094608664512634,0.04924936592578888,-0.01830422878265381,-0.9986187815666199,0.9396589994430542,0.48921069502830505,0.30094608664512634,0.27748411893844604,0.25020572543144226
A,0.9625439047813416,0.189596027135849,0.1859363615512848,0.1269906908273697,0.10801514983177185,1.0,0.0,0.0,0.0,0.0,0.4364335238933563,0.3140925168991089,0.09949198365211487,-0.02008100412786007,-0.9948357343673706,0.9484454393386841,0.4364335238933563,0.3140925168991089,0.2670527994632721,0.22784526646137238
A,0.9592936635017395,0.20689328014850616,0.19585633277893066,0.13138194382190704,0.09023076295852661,1.0,0.0,0.0,0.0,0.0,0.4770435690879822,0.2619422376155853,0.10197390615940094,-0.012719658203423023,-0.9947057366371155,0.9495643377304077,0.4770435690879822,0.2619422376155853,0.26488664746284485,0.21737973392009735
A,0.9716275930404663,0.17210042476654053,0.16915610432624817,0.12635628879070282,0.13768111169338226,1.0,0.0,0.0,0.0,0.0,0.44584131240844727,0.2646116614341736,0.20345334708690643,-0.018650280311703682,-0.9789069294929504,0.9642362594604492,0.44584131240844727,0.2646116614341736,0.23783382773399353,0.21265512704849243
A,0.9516350030899048,0.18179799616336823,0.16428746283054352,0.12109768390655518,0.12832245230674744,1.0,0.0,0.0,0.0,0.0,0.422394335269928,0.278437077999115,0.18605008721351624,0.0013457259628921747,-0.9825393557548523,0.9690309762954712,0.422394335269928,0.278437077999115,0.2418484091758728,0.2123747169971466
